sex,sex_count,plasma_avg,creat_avg,lyve1_avg,reg1b_avg,tff1_avg,reg1a_avg
M,291,836.27,0.97,3.68,143.10,715.17,881.46
F,299,479.88,0.74,2.46,81.29,483.70,532.00
